Date,Store,Category,Sales,Profit,Quantity
2024-01-09,C,Snacks,3859,853,88
2024-01-09,C,Fruits,3918,1090,113
2024-01-09,B,Bakery,3544,593,48
2024-01-09,C,Bakery,2870,839,29
2024-01-09,B,Beverages,3094,579,86
2024-01-09,B,Fruits,4143,1080,80
2024-01-09,A,Bakery,1359,338,108
2024-01-09,A,Dairy,3649,847,115
2024-01-09,A,Beverages,2464,707,77
2024-01-09,A,Snacks,3638,921,28
2024-01-09,A,Fruits,2169,638,109
2024-01-09,B,Snacks,2270,548,88
2024-01-10,C,Dairy,4774,1212,87
2024-01-10,C,Beverages,2425,458,53
2024-01-10,C,Snacks,4985,1035,27
2024-01-10,C,Fruits,4769,956,54
2024-01-10,B,Bakery,3244,535,31
2024-01-10,B,Dairy,4713,845,62
2024-01-10,B,Beverages,3538,1030,62
2024-01-10,C,Bakery,2316,652,94
2024-01-10,B,Fruits,2487,517,31
2024-01-10,A,Bakery,1695,493,51
2024-01-10,A,Dairy,3887,1133,43
2024-01-10,A,Beverages,1815,458,88
2024-01-10,A,Snacks,4530,1019,77
2024-01-10,A,Fruits,3649,752,71
2024-01-10,B,Snacks,3227,705,52
2024-01-11,C,Bakery,4022,1079,35
2024-01-11,C,Dairy,3738,982,104
2024-01-11,C,Beverages,4377,950,35
2024-01-11,C,Snacks,1517,443,114
2024-01-11,C,Fruits,4971,983,28
2024-01-11,B,Bakery,1195,341,80
2024-01-11,B,Dairy,1528,297,105
2024-01-11,B,Beverages,4752,1066,81
2024-01-11,B,Fruits,4932,1057,31
2024-01-11,A,Bakery,2943,824,43
2024-01-11,A,Dairy,1922,395,55
2024-01-11,A,Beverages,3767,890,83
2024-01-11,A,Snacks,1475,314,29
2024-01-11,A,Fruits,1528,450,40
2024-01-11,B,Snacks,3126,580,108
2024-01-12,B,Bakery,1310,390,90
2024-01-12,C,Bakery,2043,533,77
2024-01-12,C,Dairy,4402,947,58
2024-01-12,C,Beverages,3014,564,110
2024-01-12,C,Snacks,4286,1142,38
2024-01-12,C,Fruits,1955,403,55
2024-01-12,B,Dairy,2656,722,105
2024-01-12,A,Dairy,1753,289,36
2024-01-12,B,Snacks,2340,380,48
2024-01-12,B,Fruits,3793,970,46
2024-01-12,A,Bakery,2342,597,65
2024-01-12,B,Beverages,3186,656,27
2024-01-12,A,Beverages,1956,553,54
2024-01-12,A,Snacks,3782,879,33
2024-01-12,A,Fruits,2956,662,72
2024-01-13,C,Bakery,4519,833,77
2024-01-13,C,Dairy,1945,480,111
2024-01-13,C,Beverages,1157,192,95
2024-01-13,C,Snacks,2153,341,115
2024-01-13,C,Fruits,4130,1076,35
2024-01-13,B,Bakery,4286,1046,20
2024-01-13,B,Dairy,2056,522,68
2024-01-13,B,Beverages,2050,605,38
2024-01-13,B,Snacks,3733,1115,104
2024-01-13,B,Fruits,2652,752,66
2024-01-13,A,Bakery,933,141,77
2024-01-13,A,Dairy,1623,297,52
2024-01-13,A,Beverages,1304,289,82
2024-01-13,A,Snacks,2758,695,20
2024-01-13,A,Fruits,1255,343,80
2024-01-14,C,Dairy,3524,977,93
2024-01-14,C,Beverages,2260,599,42
2024-01-14,C,Snacks,2800,839,88
2024-01-14,C,Fruits,1310,199,20
2024-01-14,B,Bakery,4800,746,117
2024-01-14,B,Dairy,4958,1465,108
2024-01-14,B,Beverages,2993,891,115
2024-01-14,C,Bakery,2848,544,70
2024-01-14,B,Fruits,809,227,75
2024-01-14,A,Bakery,1055,255,88
2024-01-14,A,Dairy,3756,606,65
2024-01-14,A,Beverages,3308,630,111
2024-01-14,A,Snacks,4575,1165,46
2024-01-14,A,Fruits,1339,273,111
2024-01-14,B,Snacks,1815,483,52
2024-01-15,C,Dairy,937,258,75
2024-01-15,C,Beverages,2928,789,24
2024-01-15,C,Snacks,2158,525,49
2024-01-15,C,Fruits,2817,653,71
2024-01-15,B,Bakery,2158,353,110
2024-01-15,B,Dairy,2129,522,117
2024-01-15,B,Beverages,2922,834,70
2024-01-15,C,Bakery,3632,794,103
2024-01-15,B,Fruits,3614,770,66
2024-01-15,A,Bakery,3837,1031,113
2024-01-15,A,Dairy,2784,821,73
2024-01-15,A,Beverages,2965,676,22
2024-01-15,A,Snacks,2374,533,45
2024-01-15,A,Fruits,2623,534,53
2024-01-15,B,Snacks,2052,504,104
2024-01-16,C,Bakery,2855,507,118
2024-01-16,C,Dairy,3678,585,67
2024-01-16,C,Beverages,3086,867,75
2024-01-16,C,Snacks,3096,755,66
2024-01-16,C,Fruits,2768,552,97
2024-01-16,B,Bakery,1323,375,109
2024-01-16,B,Dairy,4700,767,41
2024-01-16,B,Beverages,3922,1071,38
2024-01-16,B,Fruits,2687,610,86
2024-01-16,A,Bakery,3747,793,75
2024-01-16,A,Dairy,4245,1044,35
2024-01-16,A,Beverages,2706,457,42
2024-01-16,A,Snacks,4618,859,62
2024-01-16,A,Fruits,3393,759,25
2024-01-16,B,Snacks,1471,353,69
2024-01-17,B,Dairy,4396,971,103
2024-01-17,C,Dairy,2561,520,78
2024-01-17,C,Beverages,3460,985,25
2024-01-17,C,Snacks,4807,994,102
2024-01-17,C,Fruits,2293,535,53
2024-01-17,B,Bakery,866,141,37
2024-01-17,B,Beverages,2096,417,105
2024-01-17,C,Bakery,1676,403,89
2024-01-17,B,Fruits,2706,448,34
2024-01-17,A,Fruits,3566,733,66
2024-01-17,A,Snacks,1325,349,109
2024-01-17,B,Snacks,2875,674,93
2024-01-17,A,Dairy,2446,554,42
2024-01-17,A,Bakery,2331,506,37
2024-01-17,A,Beverages,2925,754,107
2024-01-18,C,Dairy,2373,536,56
2024-01-18,C,Beverages,2848,755,109
2024-01-18,C,Snacks,1024,190,39
2024-01-18,C,Fruits,1941,415,87
2024-01-18,B,Bakery,1646,388,94
2024-01-18,B,Dairy,917,161,113
2024-01-18,B,Beverages,4970,749,23
2024-01-18,C,Bakery,2826,445,22
2024-01-18,B,Fruits,1863,558,55
2024-01-18,A,Bakery,1960,448,22
2024-01-18,A,Dairy,3197,506,114
2024-01-18,A,Beverages,3363,598,113
2024-01-18,A,Snacks,2533,473,89
2024-01-18,A,Fruits,2112,349,72
2024-01-18,B,Snacks,805,190,85
2024-01-19,C,Bakery,1400,292,61
2024-01-19,C,Dairy,3698,844,97
2024-01-19,C,Beverages,2114,376,104
2024-01-19,C,Snacks,4650,1255,33
2024-01-19,C,Fruits,3765,1040,79
2024-01-19,B,Bakery,2370,618,20
2024-01-19,B,Dairy,4330,782,28
2024-01-19,B,Beverages,2769,802,97
2024-01-19,B,Fruits,4290,712,113
2024-01-19,A,Bakery,3758,905,43
2024-01-19,A,Dairy,3176,531,36
2024-01-19,A,Beverages,4513,849,103
2024-01-19,A,Fruits,2839,659,29
2024-01-19,B,Snacks,2404,629,81
2024-01-19,A,Snacks,2473,445,63
2024-01-20,C,Bakery,894,206,55
2024-01-20,B,Dairy,1219,210,48
2024-01-20,C,Dairy,3171,842,95
2024-01-20,C,Beverages,4028,694,27
2024-01-20,C,Snacks,2665,440,116
2024-01-20,C,Fruits,3043,782,105
2024-01-20,B,Bakery,1920,502,46
2024-01-20,B,Beverages,2835,805,113
2024-01-20,B,Fruits,997,199,25
2024-01-20,A,Bakery,4487,1038,70
2024-01-20,A,Dairy,2048,474,85
2024-01-20,A,Beverages,2990,552,116
2024-01-20,A,Snacks,4397,964,51
2024-01-20,A,Fruits,3143,678,91
2024-01-20,B,Snacks,2002,508,91
2024-01-21,C,Dairy,3672,1029,20
2024-01-21,C,Beverages,4217,711,55
2024-01-21,C,Snacks,2592,480,65
2024-01-21,C,Fruits,4168,1194,105
2024-01-21,B,Bakery,4946,819,48
2024-01-21,B,Dairy,3977,819,111
2024-01-21,B,Beverages,3735,956,56
2024-01-21,C,Bakery,3508,555,66
2024-01-21,B,Fruits,4081,768,108
2024-01-21,A,Bakery,3065,523,32
2024-01-21,A,Dairy,1145,277,65
2024-01-21,A,Beverages,4005,855,91
2024-01-21,A,Snacks,4906,987,93
2024-01-21,A,Fruits,2634,531,46
2024-01-21,B,Snacks,2439,582,79
2024-01-22,C,Bakery,3132,486,68
2024-01-22,C,Dairy,1522,275,81
2024-01-22,C,Beverages,3062,555,70
2024-01-22,C,Snacks,2592,414,115
2024-01-22,C,Fruits,1141,262,111
2024-01-22,B,Bakery,4232,988,68
2024-01-22,B,Dairy,3920,1161,90
2024-01-22,B,Beverages,4958,907,41
2024-01-22,B,Fruits,4920,860,90
2024-01-22,A,Bakery,1754,328,70
2024-01-22,A,Dairy,1217,265,110
2024-01-22,A,Beverages,1185,239,26
2024-01-22,A,Snacks,1374,384,44
2024-01-22,A,Fruits,1001,268,71
2024-01-22,B,Snacks,4372,860,107
2024-01-23,B,Dairy,3879,902,84
2024-01-23,C,Bakery,964,174,73
2024-01-23,C,Dairy,3991,1095,65
2024-01-23,C,Beverages,2943,760,107
2024-01-23,C,Snacks,4475,738,27
2024-01-23,B,Bakery,3290,544,91
2024-01-23,B,Beverages,2623,734,69
2024-01-23,C,Fruits,4110,1163,86
2024-01-23,B,Fruits,2281,562,102
2024-01-23,A,Bakery,4135,667,48
2024-01-23,B,Snacks,4251,653,116
2024-01-23,A,Dairy,2961,692,113
2024-01-23,A,Beverages,3857,887,85
2024-01-23,A,Snacks,2865,763,20
2024-01-23,A,Fruits,1085,254,35
2024-01-24,C,Bakery,874,250,89
2024-01-24,C,Dairy,2876,548,117
2024-01-24,C,Beverages,3341,567,23
2024-01-24,C,Snacks,4230,722,92
2024-01-24,C,Fruits,3399,832,85
2024-01-24,B,Bakery,3568,678,100
2024-01-24,B,Dairy,3561,794,49
2024-01-24,B,Beverages,4377,1168,105
2024-01-24,B,Snacks,1604,426,57
2024-01-24,B,Fruits,3990,1095,31
2024-01-24,A,Bakery,4394,898,21
2024-01-24,A,Dairy,4977,1426,21
2024-01-24,A,Beverages,4495,1067,38
2024-01-24,A,Snacks,1574,285,52
2024-01-24,A,Fruits,1622,264,67
2024-01-25,C,Dairy,2585,597,55
2024-01-25,C,Beverages,4950,1438,43
2024-01-25,C,Snacks,3654,1068,118
2024-01-25,C,Fruits,2858,736,55
2024-01-25,B,Bakery,4924,1356,40
2024-01-25,B,Dairy,3666,881,72
2024-01-25,B,Beverages,3867,1008,73
2024-01-25,C,Bakery,2562,575,100
2024-01-25,B,Fruits,3769,781,104
2024-01-25,A,Bakery,1254,360,29
2024-01-25,A,Dairy,1445,346,110
2024-01-25,A,Beverages,2422,413,105
2024-01-25,A,Snacks,2881,607,36
2024-01-25,A,Fruits,4724,1117,61
2024-01-25,B,Snacks,3481,546,65
2024-01-26,C,Dairy,846,216,51
2024-01-26,C,Beverages,4526,1349,78
2024-01-26,C,Snacks,3221,893,99
2024-01-26,C,Fruits,4862,1282,40
2024-01-26,B,Bakery,4463,1177,107
2024-01-26,B,Dairy,4694,765,66
2024-01-26,B,Beverages,3804,1112,36
2024-01-26,C,Bakery,1200,280,42
2024-01-26,B,Fruits,4997,826,117
2024-01-26,A,Bakery,4369,1289,63
2024-01-26,A,Dairy,4920,794,58
2024-01-26,A,Beverages,2040,516,80
2024-01-26,A,Snacks,2324,374,92
2024-01-26,A,Fruits,1281,340,92
2024-01-26,B,Snacks,2436,660,63
2024-01-27,C,Bakery,4610,698,58
2024-01-27,C,Dairy,2604,540,32
2024-01-27,C,Beverages,4041,619,53
2024-01-27,C,Snacks,1931,296,85
2024-01-27,C,Fruits,3569,1009,52
2024-01-27,B,Bakery,4387,1093,112
2024-01-27,B,Dairy,838,226,34
2024-01-27,B,Beverages,930,213,56
2024-01-27,B,Fruits,1414,350,36
2024-01-27,A,Bakery,3842,877,37
2024-01-27,A,Dairy,4094,647,113
2024-01-27,A,Beverages,2321,676,78
2024-01-27,A,Snacks,1428,277,26
2024-01-27,A,Fruits,3957,613,26
2024-01-27,B,Snacks,4023,941,118
2024-01-28,B,Dairy,3432,712,34
2024-01-28,C,Dairy,1684,264,93
2024-01-28,C,Beverages,4215,1203,30
2024-01-28,C,Snacks,1606,453,75
2024-01-28,C,Fruits,2628,496,80
2024-01-28,B,Bakery,1763,517,31
2024-01-28,B,Beverages,1231,352,84
2024-01-28,C,Bakery,1624,252,109
2024-01-28,B,Fruits,1175,326,49
2024-01-28,A,Fruits,4924,803,81
2024-01-28,A,Snacks,1044,247,76
2024-01-28,B,Snacks,945,225,81
2024-01-28,A,Dairy,4230,1102,103
2024-01-28,A,Bakery,4560,1003,22
2024-01-28,A,Beverages,2571,421,29
2024-01-29,C,Dairy,4772,1070,67
2024-01-29,C,Beverages,1774,335,57
2024-01-29,C,Snacks,1754,370,117
2024-01-29,C,Fruits,4935,1148,44
2024-01-29,B,Bakery,2018,560,44
2024-01-29,B,Dairy,3482,771,111
2024-01-29,B,Beverages,2733,597,117
2024-01-29,C,Bakery,836,139,79
2024-01-29,B,Fruits,802,176,51
2024-01-29,A,Bakery,3266,730,69
2024-01-29,A,Dairy,2713,512,80
2024-01-29,A,Beverages,3536,1022,28
2024-01-29,A,Snacks,2596,766,73
2024-01-29,A,Fruits,3353,918,22
2024-01-29,B,Snacks,1692,404,108
2024-01-30,C,Bakery,2490,416,36
2024-01-30,C,Dairy,2785,452,115
2024-01-30,C,Beverages,1388,262,112
2024-01-30,C,Snacks,4798,1308,101
2024-01-30,C,Fruits,3519,920,72
2024-01-30,B,Bakery,1356,298,77
2024-01-30,B,Dairy,4538,809,57
2024-01-30,B,Beverages,2516,417,61
2024-01-30,B,Fruits,3183,594,59
2024-01-30,A,Bakery,2796,787,52
2024-01-30,A,Dairy,3911,905,117
2024-01-30,A,Beverages,3196,753,77
2024-01-30,A,Fruits,1595,476,88
2024-01-30,B,Snacks,2504,689,32
2024-01-30,A,Snacks,3911,868,64
2024-01-31,C,Bakery,4156,889,23
2024-01-31,B,Dairy,1486,322,48
2024-01-31,C,Dairy,4409,842,117
2024-01-31,C,Beverages,4799,901,70
2024-01-31,C,Snacks,3904,803,25
2024-01-31,C,Fruits,3307,528,26
2024-01-31,B,Bakery,1562,373,118
2024-01-31,B,Beverages,3991,1120,101
2024-01-31,B,Fruits,1840,294,31
2024-01-31,A,Bakery,2687,430,119
2024-01-31,A,Dairy,2045,338,56
2024-01-31,A,Beverages,4702,1151,47
2024-01-31,A,Snacks,4326,929,93
2024-01-31,A,Fruits,1807,347,89
2024-01-31,B,Snacks,1685,267,84
2024-02-01,C,Dairy,4433,1081,90
2024-02-01,C,Beverages,1319,287,98
2024-02-01,C,Snacks,1784,291,36
2024-02-01,C,Fruits,3055,901,46
2024-02-01,B,Bakery,1592,326,43
2024-02-01,B,Dairy,2780,429,54
2024-02-01,B,Beverages,4763,878,57
2024-02-01,C,Bakery,1759,272,63
2024-02-01,B,Fruits,4916,1046,66
2024-02-01,A,Bakery,3696,794,75
2024-02-01,A,Dairy,3893,743,94
2024-02-01,A,Beverages,4001,1008,66
2024-02-01,A,Snacks,3004,550,94
2024-02-01,A,Fruits,838,225,34
2024-02-01,B,Snacks,4826,1011,103
2024-02-02,C,Bakery,801,130,116
2024-02-02,C,Dairy,3520,937,93
2024-02-02,C,Beverages,1391,337,73
2024-02-02,C,Snacks,3736,640,65
2024-02-02,C,Fruits,4562,784,107
2024-02-02,B,Bakery,4296,1111,27
2024-02-02,B,Dairy,1528,447,52
2024-02-02,B,Beverages,2189,565,114
2024-02-02,B,Fruits,1194,260,83
2024-02-02,A,Bakery,916,246,21
2024-02-02,A,Dairy,1816,289,79
2024-02-02,A,Beverages,4144,889,103
2024-02-02,A,Snacks,1326,199,44
2024-02-02,A,Fruits,4699,835,22
2024-02-02,B,Snacks,4967,799,40
2024-02-03,B,Dairy,4189,841,103
2024-02-03,C,Dairy,2934,510,31
2024-02-03,C,Beverages,4909,1270,94
2024-02-03,C,Snacks,821,182,45
2024-02-03,C,Fruits,1007,241,23
2024-02-03,B,Bakery,1050,261,26
2024-02-03,B,Beverages,1515,442,27
2024-02-03,C,Bakery,2066,612,38
2024-02-03,B,Fruits,2856,692,25
2024-02-03,A,Fruits,4844,750,49
2024-02-03,A,Snacks,1717,509,85
2024-02-03,B,Snacks,3070,598,51
2024-02-03,A,Dairy,3841,636,63
2024-02-03,A,Bakery,1116,317,86
2024-02-03,A,Beverages,889,225,65
2024-02-04,C,Bakery,2194,629,77
2024-02-04,C,Dairy,2597,497,58
2024-02-04,C,Beverages,3425,976,98
2024-02-04,C,Snacks,2073,462,117
2024-02-04,C,Fruits,2512,594,70
2024-02-04,B,Dairy,1203,242,56
2024-02-04,B,Beverages,958,250,77
2024-02-04,B,Bakery,2187,493,39
2024-02-04,B,Fruits,1554,284,54
2024-02-04,A,Bakery,3720,920,78
2024-02-04,A,Dairy,1461,437,56
2024-02-04,A,Beverages,1106,258,63
2024-02-04,A,Snacks,4502,1120,72
2024-02-04,A,Fruits,4227,749,64
2024-02-04,B,Snacks,1152,252,26
2024-02-05,B,Bakery,2913,723,54
2024-02-05,C,Dairy,4578,913,33
2024-02-05,C,Bakery,3691,634,113
2024-02-05,C,Beverages,4174,773,50
2024-02-05,C,Snacks,4823,1425,55
2024-02-05,C,Fruits,2846,757,84
2024-02-05,B,Dairy,4016,1186,108
2024-02-05,A,Snacks,3758,637,116
2024-02-05,B,Snacks,2446,555,33
2024-02-05,B,Fruits,3852,720,60
2024-02-05,A,Bakery,801,222,56
2024-02-05,A,Dairy,4169,858,63
2024-02-05,A,Beverages,4391,1257,119
2024-02-05,A,Fruits,4514,1104,37
2024-02-05,B,Beverages,3955,649,21
2024-02-06,C,Bakery,4723,729,42
2024-02-06,C,Dairy,4049,1012,42
2024-02-06,C,Beverages,4668,1106,76
2024-02-06,C,Snacks,925,183,117
2024-02-06,C,Fruits,1075,238,72
2024-02-06,B,Dairy,3332,657,78
2024-02-06,B,Bakery,1808,282,70
2024-02-06,B,Beverages,3644,613,20
2024-02-06,B,Fruits,1756,334,39
2024-02-06,A,Bakery,2542,459,25
2024-02-06,A,Dairy,2379,565,75
2024-02-06,A,Beverages,3012,833,68
2024-02-06,A,Snacks,2107,428,56
2024-02-06,A,Fruits,3160,644,83
2024-02-06,B,Snacks,1768,513,56
2024-02-07,C,Dairy,2467,668,38
2024-02-07,C,Beverages,2147,452,117
2024-02-07,C,Snacks,3432,663,96
2024-02-07,C,Fruits,4032,1205,60
2024-02-07,B,Bakery,1503,297,89
2024-02-07,B,Dairy,4473,1112,81
2024-02-07,B,Beverages,3924,971,67
2024-02-07,C,Bakery,1800,387,42
2024-02-07,B,Fruits,1102,183,95
2024-02-07,A,Bakery,4849,1331,36
2024-02-07,A,Dairy,3274,499,93
2024-02-07,A,Beverages,2318,436,105
2024-02-07,A,Snacks,928,160,27
2024-02-07,A,Fruits,2769,818,27
2024-02-07,B,Snacks,3872,1127,38
2024-02-08,C,Bakery,1514,240,70
2024-02-08,C,Dairy,1206,298,99
2024-02-08,C,Beverages,3345,510,62
2024-02-08,C,Snacks,3630,960,62
2024-02-08,C,Fruits,4164,957,98
2024-02-08,B,Bakery,1977,409,44
2024-02-08,B,Dairy,3663,812,85
2024-02-08,B,Beverages,1826,510,104
2024-02-08,B,Fruits,4138,725,118
2024-02-08,A,Bakery,2240,519,68
2024-02-08,A,Dairy,4786,1111,79
2024-02-08,A,Beverages,3947,925,90
2024-02-08,A,Snacks,1254,249,108
2024-02-08,A,Fruits,4512,877,107
2024-02-08,B,Snacks,3689,809,85
2024-02-09,C,Bakery,1872,352,45
2024-02-09,C,Dairy,3225,919,61
2024-02-09,C,Beverages,3897,962,28
2024-02-09,C,Snacks,2100,501,105
2024-02-09,C,Fruits,2508,734,66
2024-02-09,B,Bakery,2275,619,26
2024-02-09,B,Dairy,1244,357,61
2024-02-09,B,Beverages,4454,739,82
2024-02-09,B,Fruits,2937,670,108
2024-02-09,A,Fruits,940,168,105
2024-02-09,A,Snacks,1763,441,71
2024-02-09,B,Snacks,2086,581,114
2024-02-09,A,Dairy,905,233,55
2024-02-09,A,Bakery,4897,1452,68
2024-02-09,A,Beverages,2492,575,47
2024-02-10,C,Dairy,4931,1180,116
2024-02-10,C,Beverages,1925,550,61
2024-02-10,C,Snacks,3149,757,38
2024-02-10,C,Fruits,4808,1436,94
2024-02-10,B,Bakery,4529,980,86
2024-02-10,B,Dairy,1240,369,44
2024-02-10,B,Beverages,1449,302,92
2024-02-10,C,Bakery,872,178,27
2024-02-10,B,Fruits,4303,1059,56
2024-02-10,A,Bakery,1430,235,40
2024-02-10,A,Dairy,2384,668,118
2024-02-10,A,Beverages,3840,913,74
2024-02-10,A,Snacks,4073,669,108
2024-02-10,A,Fruits,4945,1351,43
2024-02-10,B,Snacks,1787,414,90
2024-02-11,C,Bakery,2340,676,103
2024-02-11,C,Dairy,2479,459,49
2024-02-11,C,Beverages,2731,735,27
2024-02-11,C,Snacks,3759,759,31
2024-02-11,C,Fruits,3293,716,49
2024-02-11,B,Bakery,1816,418,74
2024-02-11,B,Dairy,2668,676,112
2024-02-11,B,Beverages,1461,238,63
2024-02-11,B,Fruits,3574,890,63
2024-02-11,A,Bakery,3228,645,77
2024-02-11,A,Dairy,2535,638,69
2024-02-11,A,Beverages,4410,1018,51
2024-02-11,A,Fruits,3272,707,87
2024-02-11,B,Snacks,2032,527,54
2024-02-11,A,Snacks,4513,1218,79
2024-02-12,C,Bakery,872,183,34
2024-02-12,B,Dairy,1061,284,54
2024-02-12,C,Dairy,933,250,86
2024-02-12,C,Beverages,2626,739,49
2024-02-12,C,Snacks,4937,1345,57
2024-02-12,C,Fruits,1043,302,31
2024-02-12,B,Bakery,2990,702,105
2024-02-12,B,Beverages,2525,735,42
2024-02-12,B,Fruits,2401,484,104
2024-02-12,A,Bakery,3585,601,33
2024-02-12,A,Dairy,3631,970,95
2024-02-12,A,Beverages,2566,434,51
2024-02-12,A,Snacks,948,230,103
2024-02-12,A,Fruits,1163,321,84
2024-02-12,B,Snacks,3296,902,94
2024-02-13,C,Dairy,1256,233,106
2024-02-13,C,Beverages,4650,737,69
2024-02-13,C,Snacks,2753,500,29
2024-02-13,C,Fruits,4938,1222,21
2024-02-13,B,Bakery,3294,494,25
2024-02-13,B,Dairy,1645,355,39
2024-02-13,B,Beverages,4479,881,111
2024-02-13,C,Bakery,1979,375,81
2024-02-13,B,Fruits,3329,738,27
2024-02-13,A,Bakery,2760,474,25
2024-02-13,A,Dairy,1037,233,71
2024-02-13,A,Beverages,894,152,33
2024-02-13,A,Snacks,2785,618,44
2024-02-13,A,Fruits,3778,1109,101
2024-02-13,B,Snacks,1763,325,44
2024-02-14,C,Bakery,4635,1026,101
